"MATRICOLA","CODICE","ESAME","DATA","VOTO","TIPO"
1830773,"0100125","ISTITUZIONI DI GEOMETRIA SUPERIORE","13/03/1996",25,"Superato"
1830773,"0100135","LOGICA MATEMATICA","22/02/1995",27,"Superato"
1830773,"0100137","MATEMATICHE ELEMENT.DAL PUNTO D.V.S.","06/07/1998",21,"Superato"
1830773,"0100140","MECCANICA RAZIONALE","21/02/1997",24,"Superato"
1830773,"0100157","PREPARAZIONI DI ESPERIENZE DIDATTICHE I","09/06/1997",28,"Superato"
1830773,"0100176","TEORIA DELLE FUNZIONI","18/07/1996",24,"Superato"
1830773,"0100214","STORIA DELLE MATEMATICHE","10/07/1995",27,"Superato"
1878305,"0100001","ALGEBRA","12/10/1993",23,"Superato"
1878305,"0100004","ANALISI MATEMATICA I","10/02/1994",27,"Superato"
1878305,"0100006","ANALISI MATEMATICA II","07/07/1994",22,"Superato"
1878305,"0100011","APPLICAZIONI DI MATEMATICHE SUPERIORI","23/06/1997",28,"Superato"
1878305,"0100020","CALCOLO DELLE PROBABILITA'","19/11/1996",28,"Superato"
1878305,"0100021","CALCOLI NUMERICI E GRAFICI","25/02/1997",29,"Superato"
1878305,"0100084","FISICA GENERALE I","28/04/1995",21,"Superato"
1878305,"0100085","FISICA GENERALE II","04/07/1996",28,"Superato"
1878305,"0100114","GEOMETRIA I","07/06/1993",26,"Superato"
1878305,"0100115","GEOMETRIA II","07/02/1995",27,"Superato"
1878305,"0100122","ISTITUZIONI DI FISICA MATEMATICA","29/01/1999",30,"Superato"
1878305,"0100138","MATEMATICHE SUPERIORI","29/09/1997",31,"Superato"
1878305,"0100140","MECCANICA RAZIONALE","25/10/1995",27,"Superato"
1878305,"0100171","STATISTICA MATEMATICA","12/06/2000",30,"Superato"
1878305,"0100218","MECCANICA SUPERIORE","30/04/1999",31,"Superato"
1878305,"0100242","ANALISI NUMERICA","02/02/2000",31,"Superato"
1881205,"0100001","ALGEBRA","14/02/1995",24,"Superato"
1881205,"0100002","ALGEBRA SUPERIORE","19/04/2000",26,"Superato"
1881205,"0100004","ANALISI MATEMATICA I","17/06/1993",24,"Superato"
1881205,"0100006","ANALISI MATEMATICA II","06/10/1994",25,"Superato"
1881205,"0100007","ANALISI SUPERIORE","28/01/1999",30,"Superato"
1881205,"0100084","FISICA GENERALE I","16/07/1997",20,"Superato"
1881205,"0100085","FISICA GENERALE II","30/09/1997",27,"Superato"
1881205,"0100114","GEOMETRIA I","04/11/1993",22,"Superato"
1881205,"0100115","GEOMETRIA II","13/02/1996",24,"Superato"
1881205,"0100121","ISTITUZIONI DI ANALISI SUPERIORE","25/07/1996",25,"Superato"
1881205,"0100122","ISTITUZIONI DI FISICA MATEMATICA","01/07/1998",28,"Superato"
1881205,"0100125","ISTITUZIONI DI GEOMETRIA SUPERIORE","14/03/1997",30,"Superato"
1881205,"0100138","MATEMATICHE SUPERIORI","08/10/1998",30,"Superato"
1881205,"0100140","MECCANICA RAZIONALE","04/06/1998",28,"Superato"
1881205,"0100179","TOPOLOGIA","13/07/1999",30,"Superato"
1886033,"0100001","ALGEBRA","12/10/1993",21,"Superato"
1886033,"0100004","ANALISI MATEMATICA I","03/11/1993",18,"Superato"
1886033,"0100006","ANALISI MATEMATICA II","08/07/1994",19,"Superato"
1886033,"0100021","CALCOLI NUMERICI E GRAFICI","16/10/1995",28,"Superato"
1886033,"0100084","FISICA GENERALE I","21/03/1996",26,"Superato"
1886033,"0100085","FISICA GENERALE II","21/10/1998",28,"Superato"
1886033,"0100114","GEOMETRIA I","14/02/1994",27,"Superato"
1886033,"0100115","GEOMETRIA II","14/02/1995",20,"Superato"
1886033,"0100125","ISTITUZIONI DI GEOMETRIA SUPERIORE","26/06/1997",25,"Superato"
1886033,"0100135","LOGICA MATEMATICA","08/06/1995",30,"Superato"
1886033,"0100137","MATEMATICHE ELEMENT.DAL PUNTO D.V.S.","07/12/1996",27,"Superato"
1886033,"0100140","MECCANICA RAZIONALE","02/06/1999",24,"Superato"
1886033,"0100176","TEORIA DELLE FUNZIONI","26/06/1998",24,"Superato"
1886033,"0100214","STORIA DELLE MATEMATICHE","01/07/1996",26,"Superato"
1886033,"0520110","MATEMATICA PER LE APPL.ECONOMICHE E FINANZIARIE","25/09/1997",24,"Superato"
1892129,"0100001","ALGEBRA","08/07/1996",26,"Superato"
1892129,"0100004","ANALISI MATEMATICA I","10/02/1994",21,"Superato"
1892129,"0100006","ANALISI MATEMATICA II","08/07/1994",20,"Superato"
1892129,"0100021","CALCOLI NUMERICI E GRAFICI","24/02/1999",28,"Superato"
1892129,"0100084","FISICA GENERALE I","16/07/1997",26,"Superato"
1892129,"0100085","FISICA GENERALE II","13/10/1998",30,"Superato"
1892129,"0100114","GEOMETRIA I","23/02/1994",22,"Superato"
