sesso,prov,comune,istituto,tipo,annomat,votomat,score,idtest
F,51,8,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,6.75,28
M,47,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,12.5,28
F,48,44,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,64,9,28
F,51,26,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,10,28
F,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,78,9.75,28
M,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,14.25,28
F,48,21,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,13,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2006,71,2.75,28
M,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,85,12.25,28
M,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,62,10.75,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,65,9.5,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,73,12,28
M,47,8,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,11.75,28
F,51,33,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,84,18.25,28
F,51,39,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,71,7.5,28
M,81,12,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,15,28
M,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,95,16,28
F,51,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,92,10.5,28
M,51,4,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,84,12,28
F,48,1,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,13,28
M,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,85,16.25,28
M,48,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,18.75,28
M,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,70,10.25,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,68,7.25,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,70,7.5,28
M,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,70,10.75,28
F,48,15,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,95,13.75,28
M,100,1,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,92,9.25,28
F,47,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,10.5,28
F,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,82,11.25,28
F,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,81,13.5,28
F,47,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,84,9,28
M,48,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,84,15.75,28
F,48,43,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,97,15.25,28
F,48,35,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,82,13.75,28
M,48,30,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,64,14.75,28
F,48,10,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,9.25,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,67,11,28
F,48,1,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,72,8.25,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,76,9.5,28
F,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,90,11.25,28
M,51,4,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,17.25,28
M,48,42,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,78,13.75,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,68,18,28
M,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,81,15.75,28
F,100,4,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,72,12.5,28
M,51,12,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,93,16.75,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,13,28
M,51,32,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,10.5,28
M,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,73,8.75,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,60,7.25,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,65,11.5,28
M,47,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,11.75,28
M,48,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,88,14.5,28
M,47,10,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,91,14,28
M,84,41,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,77,8,28
F,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2001,65,7.75,28
F,47,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,11.25,28
M,47,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,86,9.5,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,95,14,28
F,51,29,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,14.25,28
F,47,20,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,16.75,28
F,51,32,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,90,12.75,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,80,14.5,28
M,48,43,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,68,18.75,28
M,48,1,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,86,16,28
